chunk_id,act,scene,speaker,words,start_page,end_page
actNone_sceneNone_speech1,1,1,STAGE,184,6,6
actNone_sceneNone_speech2,1,1,STAGE,4,7,7
actNone_sceneNone_speech3,1,1,Calphurnia,6,7,7
actNone_sceneNone_speech4,1,1,Portia,3,7,7
actNone_sceneNone_speech5,1,1,Lucius,3,7,7
actNone_sceneNone_speech6,1,1,Cinna,4,7,7
actNone_sceneNone_speech7,1,1,Decius Brutus,5,7,7
actNone_sceneNone_speech10,1,1,Mark Antony,7,7,7
actNone_sceneNone_speech11,1,1,Octavius,6,7,7
actNone_sceneNone_speech12,1,1,Claudius,5,7,7
actNone_sceneNone_speech13,1,1,Young Cato,7,7,7
actNone_sceneNone_speech16,1,1,STAGE,8,8,8
actNone_sceneNone_speech18,1,1,Pindarus,31,8,8
act1_sceneNone_speech19,1,1,STAGE,15,9,9
act1_sceneNone_speech20,1,1,Flavius,37,9,9
act1_sceneNone_speech21,1,1,Carpenter   W,4,9,9
act1_sceneNone_speech22,1,1,Marullus,22,9,9
act1_sceneNone_speech23,1,1,Cobbler   T,17,9,9
act1_sceneNone_speech24,1,1,Marullus,8,9,9
act1_sceneNone_speech25,1,1,Cobbler   A,22,9,9
act1_sceneNone_speech26,1,1,Flavius,9,9,9
act1_scene1_speech27,1,1,Cobbler   N,20,10,10
act1_scene1_speech28,1,1,Marullus,10,10,10
act1_scene1_speech29,1,1,Cobbler   W,4,10,10
act1_scene1_speech30,1,1,Flavius   T,6,10,10
act1_scene1_speech31,1,1,Cobbler   T,44,10,10
act1_scene1_speech32,1,1,Flavius,17,10,10
act1_scene1_speech33,1,1,Cobbler   T,29,10,10
act1_scene1_speech34_sen1,1,1,Marullus,2,10,10
act1_scene1_speech34_sen2,1,1,Marullus,5,10,10
act1_scene1_speech34_sen3,1,1,Marullus,14,10,10
act1_scene1_speech34_sen4,1,1,Marullus,9,10,10
act1_scene1_speech34_sen5,1,1,Marullus,4,10,10
act1_scene1_speech34_sen6,1,1,Marullus,45,10,10
act1_scene1_speech34_sen7,1,1,Marullus,22,10,10
act1_scene1_speech35,1,1,STAGE,71,11,11
act1_scene1_speech36,1,1,Flavius,82,11,11
act1_scene1_speech37,1,1,Marullus   M,12,11,11
act1_scene1_speech38,1,1,Flavius,66,11,11
act1_scene2_speech39,1,2,STAGE,23,12,12
act1_scene2_speech41,1,2,Casca     P,5,12,12
act1_scene2_speech43,1,2,Calphurnia   H,3,12,12
act1_scene2_speech44,1,2,Caesar,12,12,12
act1_scene2_speech45,1,2,Antony   C,3,12,12
act1_scene2_speech46,1,2,Caesar,25,12,12
act1_scene2_speech47,1,2,Antony     I,10,12,12
act1_scene2_speech48,1,2,Caesar,10,12,12
act1_scene2_speech51,1,2,Casca,8,12,12
act1_scene2_speech52,1,2,Caesar,19,12,12
act1_scene2_speech53,1,2,Soothsayer,5,12,12
act1_scene2_speech54,1,2,Caesar     W,4,12,12
act1_scene2_speech55,1,2,Caesar,9,13,13
act1_scene2_speech56,1,2,Cassius,12,13,13
act1_scene2_speech57,1,2,Caesar,9,13,13
act1_scene2_speech58,1,2,Soothsayer   B,5,13,13
act1_scene2_speech59,1,2,Caesar,16,13,13
act1_scene2_speech60,1,2,Cassius,12,13,13
act1_scene2_speech62,1,2,Cassius   I,3,13,13
act1_scene2_speech63,1,2,Brutus,16,13,13
act1_scene2_speech64,1,2,Cassius,33,13,13
act1_scene2_speech65,1,2,Brutus     C,53,13,13
act1_scene2_speech66,1,2,STAGE,22,14,14
act1_scene2_speech67,1,2,Cassius,32,14,14
act1_scene2_speech68,1,2,Brutus,15,14,14
act1_scene2_speech69,1,2,Cassius,61,14,14
act1_scene2_speech70,1,2,Brutus,23,14,14
act1_scene2_speech71,1,2,Cassius,85,14,14
act1_scene2_speech72,1,2,STAGE,17,15,15
act1_scene2_speech73,1,2,Brutus,14,15,15
act1_scene2_speech75,1,2,Brutus,62,15,15
act1_scene2_speech76_sen1,1,2,Cassius,9,15,15
act1_scene2_speech76_sen2,1,2,Cassius,8,15,15
act1_scene2_speech76_sen3,1,2,Cassius,18,15,15
act1_scene2_speech76_sen4,1,2,Cassius,18,15,15
act1_scene2_speech76_sen5,1,2,Cassius,54,15,15
act1_scene2_speech76_sen6,1,2,Cassius,8,15,15
act1_scene2_speech77,1,2,STAGE,179,16,16
act1_scene2_speech78,1,2,Brutus   A,12,16,16
act1_scene2_speech79,1,2,Cassius,53,16,16
act1_scene2_speech80,1,2,STAGE,169,17,17
act1_scene2_speech81,1,2,Brutus,68,17,17
act1_scene2_speech82,1,2,STAGE,13,18,18
act1_scene2_speech83,1,2,Cassius   I,21,18,18
act1_scene2_speech84,1,2,Brutus,8,18,18
act1_scene2_speech85,1,2,Cassius,24,18,18
act1_scene2_speech86,1,2,Brutus,46,18,18
act1_scene2_speech87,1,2,Cassius,11,18,18
act1_scene2_speech90,1,2,Caesar,33,18,18
act1_scene2_speech91,1,2,Antony,15,18,18
act1_scene2_speech92,1,2,Caesar,17,18,18
act1_scene2_speech93,1,2,STAGE,121,19,19
act1_scene2_speech94,1,2,Casca   Y,11,19,19
act1_scene2_speech95,1,2,Brutus,13,19,19
act1_scene2_speech96,1,2,Casca   W,8,19,19
act1_scene2_speech97,1,2,Casca   W,28,19,19
act1_scene2_speech98,1,2,Brutus   W,6,19,19
act1_scene2_speech99,1,2,Casca   W,5,19,19
act1_scene2_speech100,1,2,Cassius,9,19,19
act1_scene2_speech101,1,2,Casca   W,4,19,19
act1_scene2_speech102,1,2,Brutus   W,6,19,19
act1_scene2_speech104,1,2,Cassius   W,7,20,20
act1_scene2_speech106,1,2,Brutus,8,20,20
act1_scene2_speech107_sen1,1,2,Casca   I,11,20,20
act1_scene2_speech107_sen2,1,2,Casca   I,9,20,20
act1_scene2_speech107_sen3,1,2,Casca   I,42,20,20
act1_scene2_speech107_sen4,1,2,Casca   I,27,20,20
act1_scene2_speech107_sen5,1,2,Casca   I,8,20,20
act1_scene2_speech107_sen6,1,2,Casca   I,54,20,20
act1_scene2_speech107_sen7,1,2,Casca   I,9,20,20
act1_scene2_speech108,1,2,Cassius,9,20,20
act1_scene2_speech110,1,2,Brutus,9,20,20
act1_scene2_speech111,1,2,Cassius,17,20,20
act1_scene2_speech112,1,2,Casca   I,47,20,20
act1_scene2_speech113,1,2,Brutus,8,21,21
act1_scene2_speech114_sen1,1,2,Casca   M,30,21,21
act1_scene2_speech114_sen2,1,2,Casca   M,29,21,21
act1_scene2_speech114_sen3,1,2,Casca   M,4,21,21
act1_scene2_speech114_sen4,1,2,Casca   M,26,21,21
act1_scene2_speech114_sen5,1,2,Casca   M,18,21,21
act1_scene2_speech114_sen6,1,2,Casca   M,21,21,21
act1_scene2_speech115,1,2,Brutus,8,21,21
act1_scene2_speech117,1,2,Cassius   D,4,21,21
